ID_shower,E0,theta0,Nmuons,Class
11409.00000,97150.90625,   0.00000,1674.00000,   1.00000
11410.00000,66275.60938,   0.00000, 607.00000,   1.00000
11411.00000,90455.56250,   0.00000,1176.00000,   1.00000
11412.00000,96237.11719,   0.00000,1816.00000,   1.00000
11413.00000,97064.46094,   0.00000,1329.00000,   1.00000
11414.00000,91206.59375,   0.00000, 986.00000,   1.00000
11415.00000,66142.63281,   0.00000, 660.00000,   1.00000
11416.00000,68968.99219,   0.00000, 890.00000,   1.00000
11417.00000,97266.97656,   0.00000,1233.00000,   1.00000
11352.00000,65101.51953,   0.00000, 807.00000,   1.00000
11353.00000,71808.86719,   0.00000,1178.00000,   1.00000
11354.00000,97281.79688,   0.00000,1014.00000,   1.00000
11355.00000,82186.49219,   0.00000, 636.00000,   1.00000
11356.00000,65230.07031,   0.00000,1156.00000,   1.00000
11357.00000,70731.00781,   0.00000,1008.00000,   1.00000
11358.00000,66048.28125,   0.00000,1154.00000,   1.00000
11359.00000,66935.09375,   0.00000, 533.00000,   1.00000
11360.00000,82568.46094,   0.00000, 973.00000,   1.00000
11361.00000,98452.96094,   0.00000,1239.00000,   1.00000
11362.00000,70585.96875,   0.00000,1085.00000,   1.00000
29788.00000,14430.50000,   0.00000, 183.00000,   1.00000
29789.00000,11981.67969,   0.00000, 354.00000,   1.00000
29790.00000,12371.17969,   0.00000,  71.00000,   1.00000
29791.00000,12015.54980,   0.00000, 221.00000,   1.00000
29792.00000,12642.33008,   0.00000, 185.00000,   1.00000
29793.00000,11451.91016,   0.00000, 133.00000,   1.00000
29794.00000,12208.40039,   0.00000, 265.00000,   1.00000
29795.00000,12662.36035,   0.00000, 165.00000,   1.00000
29796.00000,15794.00000,   0.00000, 312.00000,   1.00000
29797.00000,12034.05957,   0.00000, 145.00000,   1.00000
29798.00000,13997.16992,   0.00000, 244.00000,   1.00000
7876.00000,8089.62988,   0.00000,  89.00000,   1.00000
7877.00000,7056.12012,   0.00000, 234.00000,   1.00000
7878.00000,8774.19043,   0.00000, 138.00000,   1.00000
7879.00000,8194.90039,   0.00000, 151.00000,   1.00000
7880.00000,6944.39990,   0.00000, 151.00000,   1.00000
7881.00000,7016.95996,   0.00000, 102.00000,   1.00000
7882.00000,6331.14014,   0.00000, 135.00000,   1.00000
7883.00000,8873.49023,   0.00000, 202.00000,   1.00000
7884.00000,8171.70996,   0.00000, 117.00000,   1.00000
7885.00000,9012.78027,   0.00000,  87.00000,   1.00000
7886.00000,7703.00977,   0.00000,  68.00000,   1.00000
7590.00000,1725.29004,   0.00000,  35.00000,   1.00000
7591.00000,2176.72998,   0.00000,  50.00000,   1.00000
7592.00000,2511.57007,   0.00000,  73.00000,   1.00000
7593.00000,2198.95996,   0.00000,  71.00000,   1.00000
7594.00000,2190.26001,   0.00000,  46.00000,   1.00000
7595.00000,2468.82007,   0.00000,  43.00000,   1.00000
7596.00000,1087.85999,   0.00000,  25.00000,   1.00000
7597.00000,1233.72998,   0.00000,  24.00000,   1.00000
