ID_shower,E0,theta0,Nmuons,Class
19078.00000,22050.32031,   0.00000, 520.00000,   0.00000
19079.00000,23193.91016,   0.00000, 584.00000,   0.00000
19080.00000,23645.07031,   0.00000, 606.00000,   0.00000
19081.00000,23279.30078,   0.00000, 523.00000,   0.00000
15155.00000,42657.41016,   0.00000,1129.00000,   0.00000
15156.00000,57837.64062,   0.00000,1439.00000,   0.00000
15157.00000,60188.12109,   0.00000,1261.00000,   0.00000
15158.00000,49015.71094,   0.00000,1147.00000,   0.00000
15159.00000,51757.00000,   0.00000, 914.00000,   0.00000
15160.00000,39864.76172,   0.00000, 978.00000,   0.00000
15161.00000,40766.91016,   0.00000, 888.00000,   0.00000
7210.00000,7092.14014,   0.00000, 108.00000,   0.00000
7211.00000,7921.22021,   0.00000, 213.00000,   0.00000
7212.00000,9717.84961,   0.00000, 224.00000,   0.00000
7213.00000,9145.57031,   0.00000, 213.00000,   0.00000
7214.00000,8674.79980,   0.00000, 181.00000,   0.00000
7215.00000,9098.83008,   0.00000, 198.00000,   0.00000
7216.00000,7625.77979,   0.00000, 206.00000,   0.00000
8750.00000,8732.12988,   0.00000, 218.00000,   0.00000
8751.00000,8809.87012,   0.00000, 253.00000,   0.00000
8752.00000,7107.37988,   0.00000, 169.00000,   0.00000
8753.00000,9526.99023,   0.00000, 232.00000,   0.00000
8754.00000,6525.06982,   0.00000, 167.00000,   0.00000
8755.00000,9952.92969,   0.00000, 220.00000,   0.00000
8756.00000,7492.62988,   0.00000, 219.00000,   0.00000
10787.00000,13675.62012,   0.00000, 362.00000,   0.00000
10788.00000,14054.41016,   0.00000, 420.00000,   0.00000
10789.00000,14426.79004,   0.00000, 388.00000,   0.00000
10790.00000,13124.88965,   0.00000, 341.00000,   0.00000
10791.00000,10283.33984,   0.00000, 229.00000,   0.00000
10792.00000,12676.58984,   0.00000, 268.00000,   0.00000
10793.00000,10919.26953,   0.00000, 235.00000,   0.00000
25438.00000,59494.80078,   0.00000,1324.00000,   0.00000
25439.00000,42916.75000,   0.00000, 912.00000,   0.00000
25440.00000,45505.28906,   0.00000,1111.00000,   0.00000
25441.00000,46002.08984,   0.00000,1052.00000,   0.00000
25442.00000,41907.94141,   0.00000, 894.00000,   0.00000
25443.00000,62713.51953,   0.00000,1522.00000,   0.00000
25444.00000,49865.30078,   0.00000,1258.00000,   0.00000
28924.00000,92444.89844,   0.00000,1829.00000,   0.00000
28925.00000,70840.64062,   0.00000,1330.00000,   0.00000
28926.00000,88263.71875,   0.00000,2016.00000,   0.00000
28927.00000,66293.92969,   0.00000,1281.00000,   0.00000
28928.00000,84493.07812,   0.00000,1760.00000,   0.00000
28929.00000,64875.96094,   0.00000,1189.00000,   0.00000
28930.00000,69090.95312,   0.00000,1436.00000,   0.00000
19138.00000,70090.42969,   0.00000,1362.00000,   0.00000
19139.00000,82251.09375,   0.00000,1769.00000,   0.00000
19140.00000,70260.59375,   0.00000,1690.00000,   0.00000
19141.00000,93379.96875,   0.00000,2154.00000,   0.00000
19142.00000,68046.27344,   0.00000,1392.00000,   0.00000
19143.00000,68652.21875,   0.00000,1374.00000,   0.00000
19144.00000,89999.71875,   0.00000,1729.00000,   0.00000
6503.00000,67256.29688,   0.00000,1189.00000,   0.00000
6504.00000,83307.00000,   0.00000,1771.00000,   0.00000
6505.00000,94315.40625,   0.00000,1819.00000,   0.00000
6506.00000,84347.64844,   0.00000,2077.00000,   0.00000
6507.00000,63810.69922,   0.00000,1392.00000,   0.00000
6508.00000,81947.14844,   0.00000,1832.00000,   0.00000
6509.00000,70313.97656,   0.00000,1650.00000,   0.00000
26019.00000,69929.13281,   0.00000,1639.00000,   0.00000
26020.00000,89286.86719,   0.00000,1603.00000,   0.00000
26021.00000,66074.07812,   0.00000,1839.00000,   0.00000
26022.00000,66721.27344,   0.00000,1382.00000,   0.00000
26023.00000,65183.39062,   0.00000,1535.00000,   0.00000
26024.00000,82545.54688,   0.00000,2109.00000,   0.00000
26025.00000,88950.97656,   0.00000,2075.00000,   0.00000
20391.00000,10771.29980,   0.00000, 279.00000,   0.00000
20392.00000,13048.04980,   0.00000, 353.00000,   0.00000
20393.00000,14817.70020,   0.00000, 321.00000,   0.00000
20394.00000,13094.44043,   0.00000, 326.00000,   0.00000
20395.00000,15342.58984,   0.00000, 355.00000,   0.00000
20396.00000,14452.16016,   0.00000, 358.00000,   0.00000
20397.00000,11203.37988,   0.00000, 307.00000,   0.00000
14217.00000,5725.29980,   0.00000, 101.00000,   0.00000
14218.00000,6233.31982,   0.00000, 223.00000,   0.00000
14219.00000,5921.50000,   0.00000, 112.00000,   0.00000
14220.00000,5666.52002,   0.00000, 129.00000,   0.00000
14221.00000,5477.27002,   0.00000, 130.00000,   0.00000
14222.00000,5605.06006,   0.00000, 136.00000,   0.00000
14223.00000,6071.89990,   0.00000, 115.00000,   0.00000
9793.00000,38838.03906,   0.00000, 897.00000,   0.00000
9794.00000,8883.87988,   0.00000, 186.00000,   0.00000
9795.00000,6570.39014,   0.00000, 176.00000,   0.00000
9796.00000,9652.36035,   0.00000, 209.00000,   0.00000
9797.00000,7820.41016,   0.00000, 223.00000,   0.00000
9798.00000,8282.79980,   0.00000, 203.00000,   0.00000
9799.00000,7191.93018,   0.00000, 174.00000,   0.00000
11284.00000,9506.98047,   0.00000, 228.00000,   0.00000
11285.00000,6538.60986,   0.00000, 191.00000,   0.00000
11286.00000,6537.14014,   0.00000, 182.00000,   0.00000
11287.00000,8371.49023,   0.00000, 267.00000,   0.00000
11288.00000,6812.52002,   0.00000, 172.00000,   0.00000
11289.00000,6951.58984,   0.00000, 197.00000,   0.00000
11290.00000,8581.42969,   0.00000, 161.00000,   0.00000
20825.00000,35897.14062,   0.00000, 827.00000,   0.00000
20826.00000,27183.80078,   0.00000, 749.00000,   0.00000
20827.00000,30309.91016,   0.00000, 604.00000,   0.00000
20828.00000,28466.83008,   0.00000, 653.00000,   0.00000
20829.00000,38621.78125,   0.00000,1127.00000,   0.00000
20830.00000,27861.80078,   0.00000, 797.00000,   0.00000
20831.00000,28844.44922,   0.00000, 652.00000,   0.00000
25781.00000,19040.59961,   0.00000, 484.00000,   0.00000
25782.00000,16880.85938,   0.00000, 424.00000,   0.00000
25783.00000,18413.40039,   0.00000, 431.00000,   0.00000
25784.00000,19842.38086,   0.00000, 506.00000,   0.00000
25785.00000,20150.07031,   0.00000, 518.00000,   0.00000
25786.00000,19399.33984,   0.00000, 494.00000,   0.00000
25787.00000,19776.73047,   0.00000, 463.00000,   0.00000
21819.00000,71784.31250,   0.00000,1350.00000,   0.00000
21820.00000,72557.89062,   0.00000,1958.00000,   0.00000
21821.00000,73698.82812,   0.00000,1950.00000,   0.00000
21822.00000,90541.85938,   0.00000,1479.00000,   0.00000
21823.00000,78536.90625,   0.00000,1869.00000,   0.00000
21824.00000,67502.32031,   0.00000,1460.00000,   0.00000
21825.00000,88464.28125,   0.00000,1762.00000,   0.00000
21882.00000,92173.59375,   0.00000,2143.00000,   0.00000
21883.00000,95169.17969,   0.00000,1967.00000,   0.00000
21884.00000,85885.20312,   0.00000,1709.00000,   0.00000
21885.00000,63256.94922,   0.00000,1601.00000,   0.00000
21886.00000,68836.29688,   0.00000,1286.00000,   0.00000
21887.00000,26107.92969,   0.00000, 576.00000,   0.00000
21888.00000,28513.82031,   0.00000, 608.00000,   0.00000
16912.00000,5986.04980,   0.00000, 130.00000,   0.00000
16913.00000,6127.70020,   0.00000, 127.00000,   0.00000
16914.00000,5240.91992,   0.00000, 130.00000,   0.00000
16915.00000,5811.37988,   0.00000, 191.00000,   0.00000
16916.00000,5626.87012,   0.00000, 134.00000,   0.00000
16917.00000,5799.95996,   0.00000, 123.00000,   0.00000
16918.00000,5638.29980,   0.00000, 152.00000,   0.00000
4683.00000,34659.00000,   0.00000, 800.00000,   0.00000
4684.00000,30709.83984,   0.00000, 695.00000,   0.00000
4685.00000,38906.55859,   0.00000, 707.00000,   0.00000
4686.00000,39329.51172,   0.00000,1015.00000,   0.00000
4687.00000,29756.15039,   0.00000, 753.00000,   0.00000
4688.00000,31434.41992,   0.00000, 571.00000,   0.00000
4689.00000,38544.73828,   0.00000, 836.00000,   0.00000
12719.00000,61619.62891,   0.00000,1115.00000,   0.00000
12720.00000,45665.87109,   0.00000, 967.00000,   0.00000
12721.00000,47470.87891,   0.00000,1151.00000,   0.00000
12722.00000,46376.64062,   0.00000,1101.00000,   0.00000
12723.00000,40443.14062,   0.00000, 946.00000,   0.00000
12724.00000,61434.39062,   0.00000,1238.00000,   0.00000
12725.00000,59160.60156,   0.00000,1264.00000,   0.00000
9828.00000,7651.68994,   0.00000, 166.00000,   0.00000
9829.00000,9300.95020,   0.00000, 227.00000,   0.00000
9830.00000,8864.99023,   0.00000, 216.00000,   0.00000
9831.00000,7835.39014,   0.00000, 173.00000,   0.00000
9832.00000,7803.50000,   0.00000, 195.00000,   0.00000
9833.00000,7262.47021,   0.00000, 217.00000,   0.00000
9834.00000,7055.16016,   0.00000, 150.00000,   0.00000
21973.00000,28413.77930,   0.00000, 637.00000,   0.00000
21974.00000,33591.85156,   0.00000, 849.00000,   0.00000
21975.00000,35799.19922,   0.00000, 855.00000,   0.00000
21976.00000,35179.94922,   0.00000, 746.00000,   0.00000
21977.00000,34827.55859,   0.00000, 746.00000,   0.00000
21978.00000,27571.32031,   0.00000, 716.00000,   0.00000
21979.00000,38616.71875,   0.00000, 901.00000,   0.00000
11865.00000,84607.02344,   0.00000,1870.00000,   0.00000
11866.00000,74970.27344,   0.00000,1542.00000,   0.00000
11867.00000,74985.75000,   0.00000,1639.00000,   0.00000
11868.00000,94621.17969,   0.00000,1938.00000,   0.00000
11869.00000,94820.59375,   0.00000,1911.00000,   0.00000
